States,Availability_Q1_2021,Availability_Q1_2022,Improvement Year over Year (Percent),Median Download (Mbps),Median Upload(Mbps),income_mean,poverty
Kuala Lumpur,83.3,87.2,4.7,21.08,7.3,8517,4.6
Johor,85.7,92.9,8.5,23.44,7.2,5550,9
Kedah,87,93.1,6.9,20.35,6.82,4885,13.2
Kelantan,80.5,90.5,12.4,19.02,5.81,8057,4.2
Labuan,84.8,91.6,8.1,23.36,7.37,6788,4.4
Melaka,86.3,94.1,9.1,22.98,6.43,5777,6.3
Negeri Sembilan,85.4,93.5,9.6,21.75,6.45,8267,2
Pahang,83,92.1,11.1,25.12,7.35,5779,7.5
Pulau Pinang,88.9,93.7,5.4,21.57,7.69,5664,4
Perak,85.8,92.1,7.3,21.95,6.44,12233,1.5
Perlis,88.5,94.7,7,19.37,6.79,7248,6.2
Putrajaya,89.9,96.4,7.3,26.72,8.48,6171,19.7
Sabah,81.5,88.9,9,20.68,7.99,6457,10.8
Sarawak,81.8,88.8,8.5,22.14,8.36,13325,1.4
Selangor,87.3,92.6,6.1,23.01,7.45,8250,2.5
Terengganu,83,92.1,11,21.4,6.52,13473,0.1
